source,relationship,target
well-balanced diet,treats,osteoporosis
almond,causes,allergy
ginger,treats,ailments
ammonia,causes,respiratory symptoms
beer,treats,memory impairment
trigonella foenum-graecum,causes,hypoglycemic
olives,treats,inflammation
improved nutrition,treats,inflammation
processed meat,causes,type ii diabetes
nutrition,treats,ad
fruits,causes,allergies
cigarette smoke,causes,neurological diseases
ultra-processed products ( up ),causes,arterial hypertension
salt,causes,cerebrovascular disease
salt,treats,stone recurrence in hypercalciuric renal stone formers
olive oil,treats,osteoporosis
nickel,causes,allergy
allium sativa ( garlic ),causes,intra vascularhaemolytic anaemia
low diet quality,causes,micronutrient malnutrition
certain foods,causes,obesity
fresh tomato juice,treats,hypocitraturic recurrent stone formers
dark tea,treats,degenerative diseases
peanut,causes,allergies
dairy products,causes,cardiometabolic diseases
dairy products,treats,cardiometabolic diseases
wheat,causes,food allergy
fish oil,treats,alzheimer's disease
increased olive oil consumption,treats,cardiovascular disease
buckwheat flour,causes,allergy to buckwheat
dark chocolate,treats,t2d
tea,treats,osteoporosis
certain foods,treats,asthma
micronutrient powders,treats,anaemia
walnut,causes,allergic reactions
vegetable-based diet,treats,vcind
welsh onion,treats,abdominal pain
garlic,treats,cancers
milk,treats,airway obstruction
cigarette smoke,causes,heart disease
experimental drug,treats,ra
red yeast rice,treats,blood stasis
fruits,treats,asthma
chicken meat,treats,osteoporosis
whole milk,treats,hypertension
high carbohydrate diets,causes,nephrolithiasis
sugar,causes,ad
bread,causes,glycemic
calcium,causes,hypercalciuria
zingiber officinale,treats,type 2 diabetes mellitus
malnutrition,causes,cardiovascular disease
tea polyphenols,treats,cancer
millet,causes,urinary tract stones
garlic,treats,colon carcinogenesis
eggs,causes,allergic reaction
extra virgin olive oil,treats,neurodegenerative disorders
wheat flour,treats,anaemia
fruit,treats,urolithiasis
capsicum,treats,hyperglycemia
milk,causes,allergies
breadfruit,treats,diabetes
fruit,treats,coronary heart disease
ginger root,treats,carcinogenic
butter flavoring additive diacetyl ( da ),causes,bronchiolitis obliterans
wheat,causes,baker's rhinitis
blueberries,treats,obesity-linked metabolic diseases
cereals,causes,hypersensitivity
gambogic acid,treats,osteoporosis
grape seed procyanidin b2 ( gspb2 ) ,treats,hepatic damage of diabetes 
fruit consumption,treats,cardiovascular disease
breast milk,treats,infections
diets rich in (poly)phenols,treats,cardiovascular disorders
eucalyptus oil,treats,bronchitis
curcuma longa,treats,wound
fruit of alpinia oxyphylla,treats,dementia
mushrooms,treats,alzheimer's disease
dietary sugar,causes,dental caries
olive oil consumption,treats,osteoporosis
extra-virgin olive oil,treats,alzheimer's disease
beer consumed,treats,kidney stones
aerosolized crab allergens,causes,asthma
maize,treats,neural tube defects
flour,causes,occupational diseases
folic acid,treats,neural tube birth defect
rice fortification,treats,micronutrient deficiencies
chemotherapy drugs,causes,hypersensitivity
tea,treats,type 2 diabetes
milk,treats,chronic diseases
cherries,treats,gout
oolong tea,treats,cancer
plant-based foods and beverages,treats,vascular damage
indian yellow curry,treats,cancer
food additives,causes,senile dementia of alzheimer 's type
folic acid,treats,stroke
extra-virgin olive oil,treats,multiple diseases
extra virgin olive oil,treats,human diseases
flour,causes,asthma
processed foods,causes,autoimmune diseases
whey protein (wp),treats,hypertension
wheat,causes,coeliac disease
salt,causes,calcium oxalate urolithiasis
various foods,treats,neurodegenerative diseases
beer,treats,ad
black mulberry fruits,treats,cardiovascular diseases
cinnamon,treats,obesity
star anise,treats,skin inflammation
zingiber officinale,treats,hyperglycemia
wheat,causes,baker's asthma
ginger,treats,"diabetic liver, kidney, eye, and neural system complications"
beer,treats,alzheimer's disease
high fructose corn syrup sweetened soft drink ,causes,asthma
onion,causes,dermatitis
extra-virgin olive oil,treats,vascular disease
mediterranean diet,treats,cardiovascular diseases
food additives,causes,foodallergies
honeybush tea,treats,hyperglycemia
very-low-cho diets,causes,weight loss
fava beans,causes,haemotoxicity
raspberries,treats,pain
eicosapentaenoic acid,treats,metabolic disorders
mustard,causes,allergies
peanut,causes,anaphylaxis
extra virgin olive oil,treats,myocardial infarction
beer,treats,inflammation
allium,treats,cancers
ginger,treats,alzheimer's disease
extra-virgin olive oil,treats,inflammatory diseases
pistachio,causes,allergic reactions
beer,treats,chronic diseases
cabbage,causes,migraine attacks
pistachio,causes,allergic
glycemic load (gl) diet,causes,cardiovascular mortality
lemon,treats,alzheimer's disease
maslinic acid,treats,hyperglycaemia
yogurt,treats,cardiovascular disease
"salt (sodium chloride, nacl)",causes,moisture loss
fruits,treats,neurodegenerative diseases
cinnamomum,treats,dyspepsia
milk thistle extracts ,treats,liver cirrhosis
garlic,causes,hemolytic anemia
olive oil,treats,stroke
sugar,causes,osteoporosis
ginger,treats,human ailments
calorie-dense diet,causes,obesity
citrus fruits,treats,metabolic syndrome
psidium guajava,treats,cancer
tea,treats,coronary disease
food rich in saturated fat,causes,chd
beer,treats,cognitive impairment
drugs,causes,cutis laxa
antiepileptic drugs,causes,epilepsy
docosahexaenoic acid,treats,tumour
gastrointestinal ( gi ) protective drugs,treats,ra
meat protein,causes,heart disease
protein-containing dust,causes,respiratory diseases
sucrose,causes,hyperuricaemia
olive oil,treats,ckd
red yeast rice,treats,coronary heart disease
garlic,treats,carcinogenesis
additives to food and water,treats,cancer
diets with high fat and carbohydrate content ,causes,obesity
garlic,treats,"stomach, colorectal, breast cancer"
milk,causes,ovarian carcinoma
poor diet,causes,obesity
cow's milk protein,causes,allergy
traditional italian diet,treats,myocardial infarction
coffee,treats,hypertension
brassica rapa,treats,hypoxia
beans,treats,chronic diseases
olive oil (,treats,ad
red wine,treats,diabetes
docosahexaenoic acid,treats,"cardiovascular, neurodegenerative"
ginger,treats,obesity
almond,treats,heart disease
guava tea,treats,diabetic
cocoa,treats,cvd
beer,treats,brain disorders
steroids,causes,gastrointestinal perforation
iron rich foods,treats,anaemia
chicken protein hydrolysates ( cphs ),treats,inflammation
mediterranean diet,treats,inflammation
ginger,treats,alzheimer disease
peanut,causes,allergy
selective nutrition,treats,malnutrition
flour,causes,diabetes
garlic intake,treats,cancer
cabbage,treats,allergic
wheat flour,causes,occupational respiratory allergies
wine,treats,cognitive decline
fruits,causes,allergy
myrciaria cauliflora (jaboticaba),treats,respiratory diseases
honey-bee pollen mix (hbm),treats,asthma
high-salt ( hs ) diets,causes,hypertension
extra-virgin olive oil,treats,cardiovascular and neurodegenerative diseases
garlic,treats,colon cancer
morus alba,treats,stroke
virgin olive oil,treats,osteoporotic fractures
gluten-free diet,treats,gastrointestinal symptoms
regular-fish oil,treats,bone loss
anti-inflammatory drugs,treats,ad
quercus liaotungensis koidz,treats,diarrhea
wheat flour,causes,rhinitis
allium hirtifolium boiss ,treats,dementia
olive oil,treats,cognitive impairment
fruit,treats,cardiovascular diseases
caffeic acid,treats,alzheimer's disease
cicer arietinum,causes,allergy
black rice,causes,hypoglycemic
nuts,treats,chronic diseases
flour,causes,allergic reactions
ultra-processed foods,causes,cardiovascular disease
opioid drugs,treats,pain
unbalanced diet,causes,neurodegenerative diseases
tropical fruits,treats,metabolic syndrome
flour,causes,respiratory symptoms
rice,treats,ad
diacetyl-containing butter flavor,causes,bronchiolitis obliterans
cocoa plant,treats,insulin resistance
green tea from camellia sinensis,treats,memory deficits
ascorbic acids,causes,toxicity
curcuma longa,treats,pain
healthy diets,treats,type 2 diabetes mellitus
citrus unshiu,treats,fatigue
fish oil,treats,cd
milk,causes,atherosclerosis
tofu,treats,cognitive decline
fruits,treats,cvds
extra-virgin olive oil,treats,human diseases
soy foods,treats,cardiovascular disease
cheese,treats,sarcopenia
nobiletin from citrus peels,treats,dementia
apium graveolens,treats,hypertension
mediterranean diet,treats,stroke
milk,causes,allergy
cheese,treats,cvd
garlic,treats,ailments
wheat flour,causes,baker's asthma
cocoa,treats,diabetic
salt,causes,diet- associated health diseases
hydrolyzed wheat products,causes,allergy
fish oil,treats,myxomatous mitral valve disease
wheat,causes,allergic reaction
salt,causes,hypertension
ketogenic diet,treats,seizures
oil tea,treats,ailments
rice milk,causes,hypoalbuminemia
soy foods,treats,cardiometabolic disease
sesame oil,treats,joints pain
lamb,causes,asthma
red meat,causes,atherosclerosis
watermelon,treats,systolic blood pressure
garlic,treats,colorectal cancer
wheat flour,causes,allergy
fruit,treats,cardiovascular disease
fruits,treats,nephrolithiasis
butter flavoring vapors,causes,bronchiolitis obliterans
coffee beans,treats,ad
folic acid,treats,neural tube defects
mediet,treats,inflammation
extra virgin olive oil,treats,alzheimer's disease
saffron,treats,asthma
fruit drinks,causes,asthma
fruit,treats,cognitive decline
inadequate diet,treats,bmd
soybean curd,causes,cognitive impairment
nuts,treats,stroke
garlic supplements,treats,colorectal cancer
milk,treats,osteoporosis
broccoli,treats,cancers
cigarette smoke,causes,asthma
olive oil,treats,cognitive decline
cocoa consumption,treats,type 2 diabetes
tea,treats,pain
fruit,treats,chronic diseases
garlic,treats,"colon, lung, and skin cancers"
p. cauliflora,treats,skin irritations
coffee,treats,alzheimer's disease
curcuma longa,treats,inflammatory diseases
chickpea flour,treats,type 2 diabetes mellitus
flour,causes,bronchitis
shenzao jiannao oral liquid (szjn),treats,insomnia
dioscorea,treats,diabetes
added salt,causes,rhythm disorders
green tea,treats,infectious diseases
ginger,treats,obesity-related impairments
shiitake mushrooms,causes,flagellate dermatitis
fruit,treats,cardiovascular and cerebrovascular diseases
sugar,causes,chronic diseases
ketogenic diet,treats,epilepsy
ultra-processed foods,causes,non-communicable diseases
fish oil,treats,asthma
poor quality of the diets,causes,anemia
tea consumption,treats,postmenopausal osteoporosis
garlic,treats,cancer
eggplant,causes,oral ulcers
ginger,treats,hyperlipidemia
olive oil,treats,ad
fb1-contaminated corn,causes,neural tube defects
sucrose,causes,diabetes
grape extract (ge),treats,lifestyle-related diseases
flour,causes,asthmatic reactions
processed foods,causes,hypertension
coffee,treats,neurodegenerative diseases
symptomatic slow-acting drugs,treats,osteoarthritis
beans,treats,diabetes
cocoa polyphenols,treats,metabolic disturbances
nuts,treats,chronic disease
extra virgin olive oil,treats,glycemia
fruits,treats,cvd
curcuma longa,treats,neurodegenerative diseases
tomato fruit,treats,memory impairment
curcuma longa,treats,rheumatoid arthritis
red wine,treats,cognitive decline
mediterranean diet,treats,sci
extra virgin olive oil,treats,joint inflammatory diseases
salt,causes,nutritional reformulation
milk consumption,treats,knee osteoarthritis
mediterranean diet,treats,bone disease
functional foods,treats,pathogenic viral infections
milk,treats,fracture
olive oil,treats,cancers
rice,causes,allergy
fish,treats,ischemic heart disease
trans-fatty acids,causes,noncommunicable diseases
fruit of terminalia chebula,treats,ailments
grape seed proanthocyanidin extract (gspe),treats,hypertension
crushed garlic,treats,colon cancer
oats,treats,chronic diseases
yogurt,treats,human disease
dietary virgin olive oil,treats,hypoxia
garlic,causes,asthma
ginger,treats,human diseases
dairy products,treats,obesity
milk,treats,hip fracture
sodium consumption,causes,chronic disease
beans,treats,diabetic
coffee consumption,treats,chronic diseases
peas,treats,cardiovascular disease
olive oil),treats,cardiovascular disease
diet,treats,low-grade inflammation
"date fruit, phoenix dactylifera",treats,ailments
fruits,treats,coronary heart disease
ginger,treats,asthma
lemon,treats,respiratory tract infections
nuts,treats,atherosclerosis
apple juice,causes,asthma
coffee,treats,pd
folic acid fortification,treats,neural tube defects
